Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
05/22/2019,AQS,170310119,1,0.4,ppm,5,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/23/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/24/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/25/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/26/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/27/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/28/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/29/2019,AQS,170310119,1,0.9,ppm,10,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/30/2019,AQS,170310119,1,0.9,ppm,10,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/31/2019,AQS,170310119,1,0.8,ppm,9,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/01/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/02/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/03/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/04/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/05/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/06/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/07/2019,AQS,170310119,1,0.7,ppm,8,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/08/2019,AQS,170310119,1,0.8,ppm,9,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/09/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
